Id,Name,Ff_time,Prize_money,Correct_answers,Lost_Question,Lost_money,Lost_how,Ata_used,Ff_used,Pp_used,Ata_question,Ata_perc,Ata_correct,Ff_question,Ff_correct,Pp_question,Pp_correct,Phoned_who,Bad_question,Bad_number
119,Tom Duffy,6.79,16000,9,10,0,walked,1,1,1,2,68,1,8,1,10,1,friend,0,0
120,Scott Leff,5.58,64000,11,12,0,walked,1,1,1,6,76,1,11,1,10,1,friend,0,0
121,Patrick Duhon,5.9,1000,9,10,15000,wrong,1,1,1,9,54,1,10,0,10,0,sister_in_law,0,0
122,Ian Reifowitz,5.01,250000,13,14,0,walked,1,1,1,9,56,1,13,1,12,1,teacher,0,0
123,Shawna Rosen,4.63,1000,6,7,1000,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
124,Jim White,8.7,125000,12,13,0,walked,1,1,1,7,75,1,10,1,11,1,friend,0,0
125,Julie Gordon,10.86,1000,7,8,3000,wrong,1,1,0,6,80,1,8,0,0,2,na,0,0
126,Brad Herzog,4.98,64000,11,12,0,walked,1,1,1,7,78,1,8,1,10,1,editor,0,0
127,David Rice,8.54,250000,13,14,0,walked,1,1,1,8,65,1,13,1,10,1,teacher,0,0
128,Bod DiGusto,7.54,64000,11,12,0,walked,1,1,1,6,76,1,10,1,12,0,colleague,0,0
129,Allen Kong,5.22,0,2,3,200,wrong,1,0,0,2,90,1,0,2,0,2,na,0,0
130,Tom Ashton,6.7,250000,13,14,0,walked,1,1,1,10,56,0,9,1,10,1,brother,0,0
131,Kevin Gross,5.66,32000,10,11,0,wrong,1,1,0,6,66,1,11,0,0,2,na,0,0
132,Anne Davis,5.07,64000,11,12,0,walked,1,1,1,11,63,1,12,0,10,1,mother,0,0
133,Steven Clark,6.72,32000,12,13,93000,wrong,1,1,1,6,84,1,10,1,10,1,friend,0,0
134,Tom Lemp,4.94,32000,10,11,0,wrong,1,0,1,10,88,1,0,2,11,0,aunt,0,0
135,Leigh Jaunsen,7.16,125000,12,13,0,walked,1,1,1,10,43,0,10,1,10,1,friend,0,0
136,Chris Barker,4.65,250000,13,14,0,walked,1,1,1,8,40,1,12,1,13,1,friend,0,0
137,Mike Menz,4.1,500000,14,15,0,walked,1,1,1,5,66,1,11,1,11,1,sister_in_law,0,0
138,Martin Poteralski,3.1,0,4,5,500,wrong,1,0,0,3,75,1,0,2,0,2,na,0,0
139,David Duchovny,6.02,32000,13,14,218000,wrong,1,1,1,8,82,1,11,1,11,0,wife,0,0
140,Kathy Gifford,9.54,32000,10,11,0,wrong,1,1,1,10,43,1,9,1,11,0,producer,0,0
141,Dana Carvey,6.81,32000,10,11,0,wrong,1,0,0,11,54,0,0,2,0,2,na,0,0
142,Vanessa Williams,6.11,32000,11,12,32000,wrong,1,1,1,11,67,1,11,1,12,0,friend,0,0
143,Drew Carey,7.38,500000,14,15,0,walked,1,1,1,12,78,1,14,1,13,1,friend,0,0
144,Rose O'Donnell,1.79,500000,14,15,0,walked,1,1,1,11,85,1,14,1,13,0,friend,0,0
145,Emeril Lagasse,6.64,125000,12,13,0,walked,1,1,1,12,79,1,12,1,13,0,friend,0,0
146,Queen Latifah,8.71,250000,13,14,0,walked,1,1,1,12,82,1,14,0,14,0,contestant,0,0
147,Lance Bass,5.55,125000,12,13,0,walked,1,1,1,10,70,1,9,1,12,1,teacher,0,0
148,Ray Romano,14.51,125000,12,13,0,walked,1,1,1,11,65,1,13,0,13,0,friend,0,0
149,Gerard McDonough,3.29,32000,10,11,0,wrong,1,1,0,5,79,1,8,1,0,2,na,0,0
150,Paul Hougland,4.9,125000,12,13,0,walked,1,1,1,11,41,1,13,0,12,1,jeopardy_champion,0,0
151,Jim Faas,6.95,32000,12,13,93000,wrong,1,1,1,9,62,1,12,1,11,0,friend,0,0
152,Jason Dickinson,7.52,250000,13,14,0,walked,1,1,1,12,52,1,12,1,12,0,teacher,0,0
153,Linda Boone,5.55,1000,6,7,1000,wrong,1,0,0,7,45,1,0,2,0,2,na,0,0
154,Jeremy Conklin,4.89,0,4,5,500,wrong,1,1,1,2,91,1,3,1,5,0,stepfather,0,0
155,Bob Shick,5.43,125000,12,13,0,walked,1,1,1,12,54,1,11,1,10,1,friend,0,0
156,Troy Miller,4.22,64000,11,12,0,walked,1,1,1,6,68,1,10,1,10,1,friend,0,0
157,Joe Trela,4.02,1000,9,10,15000,wrong,1,1,0,3,50,0,3,1,0,2,na,0,0
158,David Foreman,6.08,250000,13,14,0,walked,1,1,1,8,62,1,11,1,10,1,friend,0,0
159,Michael Avitzur,4.72,32000,11,12,32000,wrong,1,1,0,11,41,1,11,1,0,2,na,0,0
160,Neil Larrimore,3.98,64000,11,12,0,walked,1,1,1,8,61,1,11,1,10,1,friend,0,0
161,Dan Blonsky,4.13,1000,9,10,15000,walked,1,1,0,10,39,0,9,1,0,2,na,0,0
162,Tim Shields,5.46,32000,10,11,0,wrong,1,1,1,8,46,1,9,1,9,0,friend,0,0
163,Michael Shutterly,6.19,1000,8,9,7000,wrong,1,1,1,6,65,1,9,0,9,0,friend,0,0
164,John Carpenter,4.49,250000,13,14,0,walked,1,1,1,11,60,1,13,1,14,1,brother,0,0
165,Toby Moore,4.04,1000,8,9,7000,wrong,1,1,1,4,67,1,9,0,9,0,cousin,0,0
166,Tom Ashton,7.03,1000,9,10,15000,wrong,1,1,0,8,64,1,8,1,0,2,na ,0,0
167,Julia Thomas,5.03,4000,7,8,0,walked,1,1,1,1,90,1,8,0,8,0,teacher,0,0
168,Debbie Eldridge,7.15,32000,10,11,0,wrong,1,1,1,7,86,1,11,0,10,1,teacher,0,0
169,Lisa Feldmeier,5.72,32000,11,12,32000,wrong,1,1,1,9,65,1,12,0,11,1,father,0,0
170,Tim O'Brien,5.06,500000,14,15,0,walked,1,1,1,10,66,1,14,1,11,1,lawyer,0,0
171,Allen Harris,3.1,250000,13,14,0,walked,1,1,1,14,80,1,12,1,14,1,friend,0,0
172,Dianne Buchek,4.08,64000,11,12,0,walked,1,1,1,6,80,1,11,1,9,1,brother_in_law,0,0
173,Bob House,5.85,1000000,15,16,0,won,1,1,1,10,64,1,15,1,15,1,friend,0,0
174,Jason McClung,6.42,125000,12,13,0,walked,1,1,1,8,54,1,11,1,12,1,friend,0,0
175,Jim Stewart,4.51,32000,10,11,0,wrong,1,1,1,6,86,1,9,1,10,1,friend,0,0
176,Kim Hunt,4.68,1000000,15,16,0,won,1,1,1,10,67,1,14,1,14,1,friend,0,0
177,Omer Poirier,7.26,125000,12,13,0,walked,1,1,1,10,40,1,10,1,12,1,friend,0,0
178,David Goodman,1.58,1000000,15,16,0,won,1,1,1,15,57,1,15,1,15,1,friend,0,0
179,Neal Organ,1.32,32000,11,12,32000,wrong,1,1,0,12,37,0,12,0,0,2,na,0,0
180,Chuck Durnberger,4.98,32000,10,11,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
181,Karla Robinson,6.98,0,3,4,300,wrong,1,0,0,3,95,1,0,2,0,2,na,0,0
