Id,Name,Ff_time,Prize_money,Correct_answers,Lost_Question,Lost_money,Lost_how,Ata_used,Ff_used,Pp_used,Ata_question,Ata_perc,Ata_correct,Ff_question,Ff_correct,Pp_question,Pp_correct,Phoned_who,Bad_question,Bad_number
304,Gary Gambino,3.82,500000,14,15,0,walked,1,1,1,10,63,1,11,1,15,0,boss,0,0
305,Peter Kiplinger,3.97,32000,10,11,0,wrong,1,1,1,7,75,1,9,1,10,1,cousin,0,0
306,Dana Bossio,5.79,8000,8,9,0,walked,1,1,1,2,81,1,8,1,8,1,friend,0,0
307,Bob Williams,4.32,1000,7,8,3000,wrong,1,1,0,6,80,1,8,0,0,2,na,0,0
308,Charles Gramaglia,3.94,32000,10,11,0,wrong,1,1,1,10,49,1,10,1,11,0,friend,0,0
309,Mitch Brown,5.79,125000,12,13,0,walked,1,1,1,9,62,1,11,1,11,0,brother,0,0
310,Bill Jones,4.76,16000,9,10,0,walked,1,1,1,8,78,1,9,1,9,0,brother,0,0
311,Paul Pearson,3.8,125000,12,13,0,walked,1,1,1,12,43,0,12,1,13,0,friend,0,0
312,Scott Stone,3.64,1000,9,10,15000,wrong,1,1,1,9,86,1,10,0,10,0,contestant,0,0
313,John Kerr,4.86,125000,12,13,0,walked,1,1,1,10,74,1,11,1,12,0,friend,0,0
314,Dan Hawkins,5.08,32000,12,13,93000,wrong,1,1,1,9,56,1,10,1,12,0,friend,0,0
315,Jade Smith,5.9,1000,5,6,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
316,Johnny Woods,4.58,1000,7,8,3000,wrong,1,0,0,5,58,1,0,2,0,2,na,0,0
317,Pat Jones,4.5,64000,11,12,0,walked,1,1,1,8,42,1,10,1,10,0,mother_in_law,0,0
318,Nancy McGuire,5.3,1000,7,8,3000,wrong,1,1,0,6,97,1,7,1,0,2,na,0,0
319,Ramesh Kannappan,5.18,32000,10,11,0,wrong,1,0,1,5,89,1,0,2,9,1,friend,0,0
320,Kyle Welch,4.24,32000,11,12,32000,wrong,1,1,1,7,72,1,10,1,8,1,friend,0,0
321,Tara Collins,3.88,64000,11,12,0,walked,1,1,1,6,80,1,12,0,10,1,friend,0,0
322,Dan Rufer,4.12,64000,11,12,0,walked,1,1,1,7,67,1,10,1,10,1,friend,0,0
323,Melissa Gilbert,12.26,32000,11,12,32000,wrong,1,1,0,12,29,0,12,0,0,2,na,0,0
324,Florence Henderson,9.79,32000,11,12,32000,wrong,1,1,1,9,82,1,11,1,11,1,son,0,0
325,Valerie Bertinelli,6.5,125000,12,13,0,walked,1,1,1,11,82,1,11,1,11,0,teacher,0,0
326,Ted Lange,9.23,125000,12,13,0,walked,1,1,1,13,40,0,12,1,12,1,friend,0,0
327,Adam West,20,250000,13,14,0,walked,1,1,1,13,84,1,13,1,13,1,friend,0,0
328,Sherman Hemsley,12.96,125000,12,13,0,walked,1,1,1,12,53,0,12,1,12,1,friend,0,0
329,Lisa Burdick,4.32,1000,9,10,15000,wrong,1,1,1,8,68,1,10,1,10,0,husband,0,0
330,Gary Cahall,4.56,250000,13,14,0,walked,1,1,1,9,52,1,12,1,14,1,friend,0,0
331,David Stewart,3.12,500000,14,15,0,walked,1,1,1,15,32,1,10,1,15,0,friend,0,0
332,Tony Mangaser,3.64,250000,13,14,0,walked,1,1,1,9,76,1,10,1,14,0,teacher,0,0
333,Larry Shackley,4.5,64000,11,12,0,walked,1,1,1,7,85,1,9,1,11,0,contestant,0,0
334,Henry Olsen,4.23,250000,13,14,0,walked,1,1,1,3,84,1,14,0,14,0,friend,0,0
335,James Dinan,3.54,0,3,4,300,wrong,1,1,0,3,82,1,4,0,0,2,na,0,0
336,Allan Hackney,5.21,32000,11,12,32000,wrong,1,1,1,8,41,1,12,0,12,0,teacher,0,0
337,Chris Mushrush,4.49,16000,9,10,0,walked,1,1,1,5,83,1,10,0,8,1,teacher,0,0
338,Kara Keenan,8.24,32000,10,11,0,wrong,0,1,0,0,0,2,11,0,0,2,na,0,0
339,Kevin Olmstead,5.82,2180000,15,16,0,won,1,1,1,8,65,1,11,1,13,1,friend,0,0
340,Kevin Rupe,5.3,64000,11,12,0,walked,1,1,1,8,55,1,11,1,11,0,teacher,0,0
341,Donna White,5.1,250000,13,14,0,walked,1,1,1,3,79,1,10,1,13,1,friend,0,0
342,Allen Chernov,5.46,32000,10,11,0,wrong,1,0,1,10,50,1,0,2,11,1,friend,0,0
343,Bernie Cullen,5.04,1000000,15,16,0,won,1,1,1,15,69,1,15,1,9,1,friend,0,0
344,Steve Perry,6.73,500000,14,15,0,walked,1,1,1,15,14,0,15,0,15,0,friend,0,0
345,Jason Scott,4.58,64000,11,12,0,walked,1,1,1,10,48,1,12,0,11,1,father,0,0
346,Ken Krantz,5.65,250000,13,14,0,walked,1,1,1,13,46,1,12,1,13,1,friend,0,0
347,David Schulman,3.34,1000,9,10,15000,wrong,1,1,1,8,79,1,10,0,10,0,friend,0,0
348,Craig Heyamoto,4.41,1000,9,10,15000,wrong,1,0,0,10,66,0,0,2,0,2,na,0,0
349,Richard Boleman,4.53,64000,11,12,0,walked,1,1,1,9,86,1,11,1,11,1,friend,0,0
350,Jeanne Pomenti,5.81,250000,13,14,0,walked,1,1,1,12,67,1,12,1,12,0,friend,0,0
351,Tom Cubbage,3.88,32000,11,12,32000,wrong,1,1,0,11,33,1,11,1,0,2,na,0,0
352,Adam Edgell,3.52,250000,13,14,0,walked,1,1,1,13,36,0,11,1,13,1,teacher,0,0
353,Bob Combs,3.45,250000,13,14,0,walked,1,1,1,8,75,1,13,0,12,1,wife,0,0
354,Charlie Carson,5.96,125000,12,13,0,walked,1,1,1,7,67,1,11,1,10,1,friend,0,0
355,Moe Cain,4.34,500000,14,15,0,walked,1,1,1,15,35,1,14,1,15,0,son,0,0
356,Joe Chung,3.88,1000,7,8,3000,wrong,1,1,0,7,61,1,8,0,0,2,na,0,0
357,Angie Hamrick,5.11,64000,11,12,0,walked,1,1,1,8,39,1,8,1,12,0,uncle,0,0
358,Jim Van Bochove,4.84,32000,11,12,32000,wrong,1,1,1,6,92,1,8,1,9,1,friend,0,0
359,Eric Camacho,3.4,1000,6,7,1000,wrong,1,0,1,4,98,1,0,2,7,0,neighbor,0,0
360,Jessica Burr,5.69,32000,11,12,32000,wrong,1,1,1,9,58,1,11,1,10,1,friend,0,0
361,Jason Thweatt,3.78,32000,11,12,32000,wrong,1,1,1,7,59,1,10,1,9,1,student,0,0
362,John Leguizamo,6.58,32000,11,12,32000,wrong,1,0,1,12,58,0,0,2,12,0,friend,0,0
363,Kevin Sorbo,5.08,32000,11,12,32000,wrong,1,1,1,11,61,1,12,0,12,0,friend,0,0
364,Jason Alexander,6.59,250000,13,14,0,walked,1,1,1,14,68,1,14,0,13,1,friend,0,0
365,Edie Falco,7.38,250000,13,14,0,walked,1,1,1,13,56,1,13,1,12,1,friend,0,0
366,Ben Stiller,7.96,32000,12,13,93000,wrong,1,1,1,12,45,1,13,0,13,0,mother,0,0
367,Alfre Woodard,6.63,250000,13,14,0,walked,1,1,1,12,72,1,13,1,14,1,mother_in_law,0,0
368,Kelly Ripa,8.16,250000,13,14,0,walked,1,1,1,12,48,1,11,1,13,1,friend,0,0
369,Dennis Franz,8.16,250000,13,14,0,walked,1,1,1,12,58,1,11,1,13,1,brother_in_law,0,0
370,Martin Short,19.54,32000,12,13,93000,wrong,1,1,1,11,80,1,13,0,13,0,celebrity,0,0
371,Chevy Chase,15.03,125000,12,13,0,walked,1,1,1,11,67,1,12,1,12,1,friend,0,0
372,Andrew Richardson,7.35,1000,7,8,3000,wrong,1,1,1,5,79,1,6,1,7,1,friend,0,0
373,Jean Gonzalez,5.59,1000,7,8,3000,wrong,1,1,1,0,0,2,0,2,0,2,na,0,0
374,Matt Dacey,5.14,32000,10,11,0,wrong,1,1,1,9,55,1,11,0,10,1,friend,0,0
375,Rob McNally,4.6,500000,14,15,0,walked,1,1,1,7,74,1,15,0,15,0,father,0,0
376,Ben Fedora,3.86,16000,9,10,0,walked,1,1,1,4,94,1,9,1,9,1,friend,0,0
377,Jon Futrell,4.04,64000,11,12,0,walked,1,1,1,5,51,1,7,1,12,0,friend,0,0
378,Martin Poteralski,3.1,250000,13,14,0,walked,1,1,1,13,51,1,12,1,13,1,friend,0,0
379,James Dinan,3.57,64000,11,12,0,walked,1,1,1,6,81,1,8,1,12,0,friend,0,0
380,Steve Fayne,4.9,64000,11,12,0,walked,1,1,1,6,69,1,10,1,9,1,aunt,0,0
381,Tom Hoobler,5.8,500000,14,15,0,walked,1,1,1,11,50,1,12,1,13,1,wife,0,0
382,Andy Jackson,5.16,64000,11,12,0,walked,1,1,1,8,92,1,11,1,11,1,friend,0,0
383,Mary Burke,6.41,500000,14,15,0,walked,1,1,1,10,51,1,14,1,13,1,friend,0,0
384,Scott Aaron,6.7,1000,8,9,7000,wrong,1,1,1,7,52,1,8,1,8,1,nieces_husband,0,0
385,Joe Waters,5.07,125000,12,13,0,walked,1,1,1,10,33,1,11,1,10,1,friend,0,0
386,Jim Vercotti,5.63,32000,11,12,32000,wrong,1,1,1,5,73,1,10,1,12,1,teacher,0,0
387,Bob Rehn,6.68,32000,10,11,0,wrong,1,1,0,10,58,1,11,0,0,2,na,0,0
388,Jessica Yong,9.47,125000,12,13,0,walked,1,1,1,6,73,1,11,1,13,0,teacher,0,0
389,Debby Mittleman,4.54,0,3,4,300,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
390,Ellyn Ritterskamp,4.44,32000,10,11,0,wrong,1,1,1,10,33,0,10,1,10,0,friend,0,0
391,Rob Wilson,5.44,64000,11,12,0,walked,1,1,1,11,50,1,7,1,12,0,friend,0,0
392,Darius Rucker,7.09,32000,12,13,93000,wrong,1,1,1,13,55,0,12,1,13,0,friend,0,0
393,Nick Lachey,3.7,125000,12,13,0,walked,1,1,1,11,43,1,11,1,12,1,father,0,0
394,Heuy Lewis,5.18,125000,12,13,0,walked,1,1,1,12,50,1,12,1,12,1,brother_in_law,0,0
395,Brian McKnight,5.58,125000,12,13,0,walked,1,1,1,13,51,0,11,1,13,0,friend,0,0
396,Tyrese,7.08,32000,11,12,32000,wrong,1,0,0,12,52,0,0,2,0,2,na,0,0
397,Belinda Carlisle,5.52,32000,10,11,0,wrong,0,1,0,0,0,2,11,0,0,2,na,0,0
398,Lisa Lopes,4.44,32000,11,12,32000,wrong,0,1,1,0,0,2,12,0,12,0,friend,0,0
399,Pat Monahan,5.89,125000,12,13,0,walked,1,1,1,12,86,1,12,1,13,0,friend,0,0
400,Joey McIntyre,15.84,32000,11,12,32000,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
401,Lee Ann Womack,10.68,125000,12,13,0,walked,1,1,1,13,64,0,12,1,12,0,friend,0,0
402,Samuel Parks,3.81,1000,7,8,3000,wrong,1,0,1,7,76,1,0,2,8,0,uncle,0,0
403,Steve Silver,3.77,32000,10,11,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
404,Heather Welch,4.12,32000,10,11,0,wrong,1,1,1,10,45,0,8,1,10,1,mother,0,0
405,Cathy Tateosian,5.84,1000,9,10,15000,wrong,1,1,0,10,49,0,10,0,0,2,na,0,0
406,Dee Phillips,0,32000,12,13,93000,wrong,1,1,0,9,61,1,12,1,0,2,na,0,0
407,Willard Smith,4.83,32000,10,11,0,wrong,1,1,1,9,62,1,11,0,11,0,friend,0,0
408,Laura Forester,4.4,1000,9,10,15000,wrong,1,0,1,6,82,1,0,2,10,0,boss,0,0
409,Lyle Willetts,4.06,16000,9,10,0,walked,1,1,1,9,50,1,9,1,10,0,friend,0,0
410,Timothy Sternberg,5.54,16000,9,10,0,walked,1,1,1,4,72,1,9,1,7,1,contestant,0,0
411,Carl Lewis,6.7,32000,12,13,93000,wrong,1,1,0,12,87,1,13,0,0,2,na,0,0
412,Steve Young,4.21,32000,10,11,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
413,Martina Navratilova,4.47,125000,12,13,0,walked,1,1,1,11,48,1,12,1,12,0,friend,0,0
414,Johnny Bench,4.01,250000,13,14,0,walked,1,1,1,12,69,1,14,0,13,1,friend,0,0
415,Laila Ali,6.07,32000,11,12,32000,wrong,1,1,0,11,82,1,1,0,0,2,na,0,0
416,Jeff Gordon,4.25,32000,11,12,32000,wrong,1,1,1,11,89,1,12,0,12,0,friend,0,0
417,Tony Hawk,6.74,125000,12,13,0,walked,1,1,1,11,67,1,13,0,12,1,friend,0,0
418,Jim Courier,7.52,32000,12,13,93000,wrong,1,1,1,11,78,1,13,0,13,0,friend,0,0
419,John Elmway,6.22,64000,11,12,0,walked,1,1,1,11,57,1,9,1,11,0,friend,0,0
420,Charles Barkley,10.68,250000,13,14,0,walked,1,1,1,12,76,1,13,1,13,1,friend,0,0
421,Eddy McIntyre,5.58,64000,11,12,0,walked,1,1,1,9,41,1,8,1,10,1,friend,0,0
422,Frank Cook,5.55,64000,11,12,0,walked,1,1,1,11,31,1,11,1,11,0,friend,0,0
423,Carlo Espinas,5.4,125000,12,13,0,walked,1,1,1,10,92,1,10,1,10,1,friend,0,0
424,Americo Mariota,8.03,125000,12,13,0,walked,1,1,1,9,78,1,10,1,10,1,brother_in_law,0,0
425,Scott McKeeve,3.28,250000,13,14,0,walked,1,1,1,12,61,1,13,1,13,1,father_in_law,0,0
426,Seth Green,5.52,250000,13,14,0,walked,1,1,1,11,36,0,11,1,12,1,friend,0,0
427,Orlando Jones,7.46,32000,11,12,32000,wrong,1,1,1,11,40,0,11,1,12,0,friend,0,0
428,Jimmy Kimmel,5.71,125000,12,13,0,walked,1,1,1,11,56,1,12,1,13,0,celebrity,0,0
429,Caroline Rhea,6.97,125000,12,13,0,walked,1,1,1,12,54,1,13,1,12,0,fiance,0,0
430,Denis Leary,6.66,125000,12,13,0,walked,1,1,1,12,89,1,12,1,11,1,friend,0,0
431,Jack Black,6.94,125000,12,13,0,walked,1,1,1,12,86,1,13,0,13,1,mother,0,0
432,Archie Harris,4.98,125000,12,13,0,walked,1,1,1,11,80,1,13,0,13,0,friend,0,0
433,Wendy Landis,5.01,16000,9,10,0,walked,1,1,1,5,91,1,5,1,9,1,father,0,0
434,Adam Malanga,10.53,32000,10,11,0,wrong,1,0,0,11,58,0,0,2,0,2,na,0,0
435,Mike DiStefano,4.15,64000,11,12,0,walked,1,1,1,8,84,1,12,0,10,1,teacher,0,0
436,Paula Littman,4.54,64000,11,12,0,walked,1,1,1,11,66,1,12,0,10,1,friend,0,0
437,Bill Maher,8,32000,11,12,32000,wrong,1,0,1,11,93,1,0,2,12,0,celebrity,0,0
438,Katy Griffin,10.33,32000,10,11,0,wrong,1,0,0,11,76,0,0,2,0,2,na,0,0
439,Robin Quivers,6.93,125000,12,13,0,walked,1,1,1,13,32,0,12,1,12,1,celebrity,0,0
440,Kevin Nealon,20,32000,11,12,32000,wrong,1,1,1,11,76,1,12,0,12,0,celebrity,0,0
441,Shannon Martin,4.8,32000,11,12,32000,wrong,1,1,1,10,78,1,12,0,11,1,father,0,0
442,Scott Hastings,4.67,32000,11,12,32000,wrong,1,1,0,9,86,1,12,0,0,2,na,0,0
443,Jim Laverty,5.16,32000,10,11,0,wrong,1,1,1,12,64,1,12,0,12,0,father_in_law,0,0
444,Eric Mason,3.96,0,4,5,500,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
445,Travis Sumner,4.5,125000,12,13,0,walked,1,1,1,11,41,1,6,1,12,1,father,0,0
446,Steve Malnar,6.55,64000,11,12,0,walked,1,1,1,10,82,1,11,1,11,0,brother_in_law,0,0
447,William Hennessy,5.89,16000,9,10,0,walked,1,1,1,8,68,1,9,1,9,0,friend,0,0
448,Carol Alt,7.37,32000,11,12,32000,wrong,1,1,0,11,65,1,12,0,0,2,na,0,0
449,Bridget Hall,16.54,32000,10,11,0,wrong,1,0,0,11,44,0,0,2,0,2,na,0,0
450,Heidi Klum,0,250000,13,14,0,walked,1,1,1,12,54,1,13,1,14,0,friend,0,0
451,Billy Baldwin,6.38,250000,13,14,0,walked,1,1,1,12,57,1,13,1,13,0,teacher,0,0
452,Jon Favreau,8.69,125000,12,13,0,walked,1,1,1,11,78,1,13,0,12,1,father,0,0
453,Shannon Elizabeth,8.56,64000,11,12,0,walked,1,1,1,11,44,1,11,1,12,0,friend,0,0
454,Dave Hann,5.13,250000,13,14,0,walked,1,1,1,9,70,1,14,0,14,0,father_in_law,0,0
455,Kevin Bacon,8.26,125000,12,13,0,walked,1,1,1,12,55,1,8,1,13,1,friend,0,0
456,David Alan Grier,7.62,125000,12,13,0,walked,1,1,1,9,85,1,11,1,11,0,friend,0,0
457,Eve,8.29,32000,10,11,0,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
458,David Clayton,4.88,250000,13,14,0,walked,1,1,1,10,55,1,13,1,12,1,friend,0,0
459,Meredith Vieira,20,250000,13,14,0,walked,1,1,1,14,42,0,13,1,13,1,friend,0,0
460,Paul Rodriguez,0,32000,11,12,32000,wrong,1,1,1,11,52,0,12,0,11,1,friend,0,0
461,Nancy Redd,4.55,250000,13,14,0,walked,1,1,1,9,73,1,9,1,11,1,friend,0,0
462,Jonathan Lubin,4.31,250000,13,14,0,walked,1,1,1,8,56,1,13,1,10,1,friend,0,0
463,Stephen Collins,8.16,125000,12,13,0,walked,1,1,1,12,85,1,13,0,12,0,friend,0,0
464,Robert Urich,6.87,125000,12,13,0,walked,1,1,1,11,77,1,13,0,12,1,friend,0,0
465,William Shatner,0,32000,11,12,32000,wrong,0,1,0,0,0,2,12,0,0,2,na,0,0
466,Adam Fried,4.93,64000,11,12,0,walked,1,1,1,10,37,1,10,1,12,0,brother,0,0
467,Justin Savino,5.33,64000,11,12,0,walked,1,1,1,5,92,1,8,1,10,0,friend,0,0
468,Jennifer Starks,4.31,0,2,3,200,wrong,0,0,0,0,0,2,0,2,0,2,na,0,0
469,Adam Cohn,6.52,32000,10,11,0,wrong,1,1,1,11,42,0,10,1,11,0,friend,0,0
470,Sam Martina,4.84,1000,8,9,7000,wrong,0,1,1,0,0,2,9,0,8,1,teacher,0,0
471,George Berwick,7.35,125000,12,13,0,walked,1,1,1,6,81,1,8,1,10,1,sister,0,0
472,Julie Tan,4.23,32000,10,11,0,wrong,1,1,0,8,70,1,9,1,0,2,na,0,0
473,Jonathan Tsilimos,4.21,64000,11,12,0,walked,1,1,1,9,91,1,11,1,12,0,cousin,0,0
474,Stephanie Stradley,4.95,64000,11,12,0,walked,1,1,1,10,51,1,12,0,11,1,friend,0,0
475,Stephanie Smith,5.14,16000,9,10,0,walked,1,1,1,8,89,1,9,1,9,1,brother,0,0
476,Becky Busby,5.25,64000,11,12,0,walked,1,1,1,9,72,1,12,0,12,0,sister,0,0
477,Allen Rindfuss,6.8,1000,8,9,7000,wrong,1,0,0,6,58,1,0,2,0,2,na,0,0
478,Heather Urbanski,5.04,125000,12,13,0,walked,1,1,1,6,54,1,13,0,13,0,sister,0,0
479,Carol Alaimo,8.46,125000,12,13,0,walked,1,1,1,9,44,1,10,1,12,1,contestant,0,0
480,Dale Masel,0,1000,0,0,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
481,Jeff Wilkie,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
482,Ken Hesser,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
483,Kevin Connors,0,1000,0,0,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
484,Sean Farrelly,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
485,Mike Huggins,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
486,Nathan Cone,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
487,Karl Schreiter,0,16000,9,10,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
488,Michael Rechtstaffen,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
489,Joel Kasenberg,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
490,Kurt Warkenstein,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
491,James Dickson,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
492,Drew Rosin,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
493,Jeff Grizer,0,64000,1,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
494,Bob Bass,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
495,Dan Doody,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
496,Patti McGrath,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
497,Phillip Visha,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
498,Drew Fine,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
499,Steve Ellson,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
500,Ryan Reed,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
501,Marcia Molina,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
502,Steve Giblin,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
503,Andrew Lohmann,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
504,Carolyn Dushane,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
505,Jonathan Wilks,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
506,Kevin Francis,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
507,Norman Connors,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
508,Carl Williams,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
509,Mark Prysant,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
510,Andy Lee,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
511,Rob Hallworth,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
512,Eric Fillman,6.09,1000,5,6,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
513,Greg Smith,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
514,Tracy Meinecke,1,16000,9,10,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
515,Tara Fingeret,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
516,Carrie Dummer,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
517,Melanie Dorsey,0,16000,9,10,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
518,Ian Podraza,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
519,Rich Matthews,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
520,John Hilbert,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
521,Jeff Mazurak,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
522,Christopher Porter,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
523,Edward Caruso,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
524,Steve Hummer,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
525,Neal Brunt,0,32000,12,13,93000,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
526,Kyle Hunter,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
527,Art Kraus,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
528,Brian Ferguson,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
529,Al Schaeffer,0,250000,13,14,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
530,Ryan Millhouse,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
531,Ryan Biederan,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
532,Mike Billok,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
533,Mike Hughes,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
534,Tracey Tariska,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
535,Jeff Fisher,0,4000,7,8,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
536,Matt Murray,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
537,Pierre Audet,0,1000,8,9,7000,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
538,Bob Watts,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
539,Brian Sexton,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
540,Rich Cooper,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
541,Tom Reneau,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
542,Dave Potts,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
543,Eileen Duffy,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
544,Dan Jolley,0,8000,8,9,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
545,Jay Ferguson,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
546,Scott Taylor,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
547,Mike Babb,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
548,Scott Bickerstaff,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
549,Gus Papadopoulos,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
550,Brian Sigrist,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
551,Leslie Silva,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
552,Dennis Kairis,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
553,Sam Matthews,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
554,Lee Rasmussen,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
555,Bruce Rogers,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
556,Ron Trigueiro,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
557,Chris Wessling,0,32000,10,11,0,wrong,2,2,2,0,0,2,0,2,0,2,na,0,0
558,Bill Inama,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
559,Peter Orvetti,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
560,Eric Wolfe,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
561,Lisa Lord,0,64000,11,12,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
562,Amy Becker,0,4000,7,8,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
563,Rene Nortz,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
564,Richard Grebow,0,32000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
565,Bill Harn,0,1000,0,0,0,na,2,2,2,0,0,2,0,2,0,2,na,0,0
566,Al Schaeffer,0,125000,12,13,0,walked,2,2,2,0,0,2,0,2,0,2,na,0,0
